"Cycle 0:#010:XPS Survey"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,1.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
4.836000e+02,7.223790e+03,,1.003080e+03,7.223790e+04
4.846000e+02,7.283510e+03,,1.002080e+03,7.283510e+04
4.856000e+02,7.196180e+03,,1.001080e+03,7.196180e+04
4.866000e+02,7.108430e+03,,1.000080e+03,7.108430e+04
4.876000e+02,6.819580e+03,,9.990800e+02,6.819580e+04
4.886000e+02,6.664410e+03,,9.980800e+02,6.664410e+04
4.896000e+02,6.489890e+03,,9.970800e+02,6.489890e+04
4.906000e+02,6.405700e+03,,9.960800e+02,6.405700e+04
4.916000e+02,6.294790e+03,,9.950800e+02,6.294790e+04
4.926000e+02,6.219000e+03,,9.940800e+02,6.219000e+04
4.936000e+02,6.023780e+03,,9.930800e+02,6.023780e+04
4.946000e+02,5.851000e+03,,9.920800e+02,5.851000e+04
4.956000e+02,5.947770e+03,,9.910800e+02,5.947770e+04
4.966000e+02,6.079420e+03,,9.900800e+02,6.079420e+04
4.976000e+02,6.059410e+03,,9.890800e+02,6.059410e+04
4.986000e+02,6.039020e+03,,9.880800e+02,6.039020e+04
4.996000e+02,6.312220e+03,,9.870800e+02,6.312220e+04
5.006000e+02,6.627090e+03,,9.860800e+02,6.627090e+04
5.016000e+02,7.220010e+03,,9.850800e+02,7.220010e+04
5.026000e+02,7.636420e+03,,9.840800e+02,7.636420e+04
5.036000e+02,7.984060e+03,,9.830800e+02,7.984060e+04
5.046000e+02,8.549560e+03,,9.820800e+02,8.549560e+04
5.056000e+02,8.942090e+03,,9.810800e+02,8.942090e+04
5.066000e+02,9.136890e+03,,9.800800e+02,9.136890e+04
5.076000e+02,8.228930e+03,,9.790800e+02,8.228930e+04
5.086000e+02,7.417100e+03,,9.780800e+02,7.417100e+04
5.096000e+02,6.539860e+03,,9.770800e+02,6.539860e+04
5.106000e+02,6.156200e+03,,9.760800e+02,6.156200e+04
5.116000e+02,5.645470e+03,,9.750800e+02,5.645470e+04
5.126000e+02,5.249210e+03,,9.740800e+02,5.249210e+04
5.136000e+02,5.045380e+03,,9.730800e+02,5.045380e+04
5.146000e+02,4.692030e+03,,9.720800e+02,4.692030e+04
5.156000e+02,4.396850e+03,,9.710800e+02,4.396850e+04
5.166000e+02,4.286990e+03,,9.700800e+02,4.286990e+04
5.176000e+02,3.968020e+03,,9.690800e+02,3.968020e+04
5.186000e+02,3.752480e+03,,9.680800e+02,3.752480e+04
5.196000e+02,3.577220e+03,,9.670800e+02,3.577220e+04
5.206000e+02,3.633570e+03,,9.660800e+02,3.633570e+04
5.216000e+02,3.572920e+03,,9.650800e+02,3.572920e+04
5.226000e+02,3.453530e+03,,9.640800e+02,3.453530e+04
5.236000e+02,3.481790e+03,,9.630800e+02,3.481790e+04
5.246000e+02,3.559430e+03,,9.620800e+02,3.559430e+04
5.256000e+02,3.534470e+03,,9.610800e+02,3.534470e+04
5.266000e+02,3.587650e+03,,9.600800e+02,3.587650e+04
5.276000e+02,3.533750e+03,,9.590800e+02,3.533750e+04
5.286000e+02,3.486010e+03,,9.580800e+02,3.486010e+04
5.296000e+02,3.442870e+03,,9.570800e+02,3.442870e+04
5.306000e+02,3.495130e+03,,9.560800e+02,3.495130e+04
